"client_id","name","industry"
1,Acme GmbH,Manufacturing
2,BlueWave AG,IT
3,NovaCore Solutions,Oil and Gas
4,LuminaWorks,Mining
5,Starwave Innovations,Manufacturing
6,Silverline Systems,Aerospace
7,QuantumPeak Software,Robotics
8,Starwave Innovations,Nonprofit
9,NovaCore Solutions,Healthcare
10,Starwave Innovations,Financial Services
11,Vertexon Industries,Real Estate
12,QuantumPeak Software,Mining
13,NovaCore Solutions,Agriculture
14,CloudForge Technologies,Robotics
15,Apexion Labs,Telecommunications
16,NovaCore Solutions,Fashion
17,Vertexon Industries,E-Commerce
18,Greenridge Manufacturing,Pharmaceuticals
19,Vertexon Industries,Tourism
20,NovaCore Solutions,Manufacturing
21,LuminaWorks,Insurance
22,CloudForge Technologies,Fashion
23,QuantumPeak Software,Tourism
24,Silverline Systems,Logistics
25,Silverline Systems,Food and Beverage
26,Vertexon Industries,Manufacturing
27,Apexion Labs,Fashion
28,NovaCore Solutions,Hospitality
29,Bluecrest Dynamics,Consumer Electronics
30,Bluecrest Dynamics,Entertainment
31,Everbright Analytics,Consumer Electronics
32,LuminaWorks,Mining
33,Starwave Innovations,Chemical Industry
34,Greenridge Manufacturing,Manufacturing
35,Silverline Systems,Mining
36,QuantumPeak Software,Biotechnology
37,LuminaWorks,Public Sector
38,CloudForge Technologies,Fashion
39,Silverline Systems,Information Technology
40,CloudForge Technologies,Retail
41,NovaCore Solutions,Biotechnology
42,Silverline Systems,Renewable Energy
43,Apexion Labs,Banking
44,Starwave Innovations,Media
45,Silverline Systems,Tourism
46,Starwave Innovations,Nonprofit
47,Everbright Analytics,Financial Services
48,Apexion Labs,Media
49,Starwave Innovations,Oil and Gas
50,LuminaWorks,Public Sector
51,LuminaWorks,Oil and Gas
52,Everbright Analytics,Information Technology
53,Silverline Systems,Nonprofit
54,QuantumPeak Software,Sports
55,Apexion Labs,Tourism
56,Silverline Systems,Marketing
57,Starwave Innovations,Logistics
58,CloudForge Technologies,Financial Services
59,CloudForge Technologies,Renewable Energy
60,Everbright Analytics,Sports
61,Greenridge Manufacturing,Construction
62,Vertexon Industries,Banking
63,Starwave Innovations,Oil and Gas
64,NovaCore Solutions,Environmental Services
65,Vertexon Industries,Biotechnology
66,Starwave Innovations,Marketing
67,Everbright Analytics,Healthcare
68,LuminaWorks,Tourism
69,Starwave Innovations,Entertainment
70,Apexion Labs,Consumer Electronics
71,Starwave Innovations,Real Estate
72,Bluecrest Dynamics,Sports
73,Starwave Innovations,Banking
74,Vertexon Industries,Biotechnology
75,QuantumPeak Software,Chemical Industry
76,Everbright Analytics,Fashion
77,Starwave Innovations,Entertainment
78,NovaCore Solutions,E-Commerce
79,LuminaWorks,Nonprofit
80,Greenridge Manufacturing,Financial Services
81,Vertexon Industries,E-Commerce
82,LuminaWorks,Pharmaceuticals
83,Silverline Systems,Manufacturing
84,NovaCore Solutions,Logistics
85,NovaCore Solutions,Information Technology
86,QuantumPeak Software,Agriculture
87,NovaCore Solutions,Healthcare
88,Everbright Analytics,Nonprofit
89,CloudForge Technologies,Oil and Gas
90,Apexion Labs,Manufacturing
91,LuminaWorks,Automotive
92,NovaCore Solutions,Fashion
93,Silverline Systems,Insurance
94,Starwave Innovations,Oil and Gas
95,QuantumPeak Software,Education
96,Apexion Labs,Aerospace
97,Silverline Systems,Renewable Energy
98,Greenridge Manufacturing,Automotive
99,Vertexon Industries,Robotics
100,NovaCore Solutions,Software Development
101,NovaCore Solutions,Renewable Energy
102,Apexion Labs,Software Development
103,Apexion Labs,Environmental Services
104,Silverline Systems,Sports
105,Silverline Systems,Media
106,Bluecrest Dynamics,Environmental Services
107,LuminaWorks,Financial Services
108,CloudForge Technologies,Information Technology
109,QuantumPeak Software,Chemical Industry
110,Greenridge Manufacturing,Agriculture
111,LuminaWorks,E-Commerce
112,Everbright Analytics,Manufacturing
113,Greenridge Manufacturing,Tourism
114,Vertexon Industries,Pharmaceuticals
115,CloudForge Technologies,Real Estate
116,Vertexon Industries,Biotechnology
117,Vertexon Industries,Telecommunications
118,Starwave Innovations,Mining
119,Bluecrest Dynamics,Media
120,NovaCore Solutions,Telecommunications
121,QuantumPeak Software,Consulting
122,Silverline Systems,Insurance
123,Everbright Analytics,Renewable Energy
124,Everbright Analytics,Nonprofit
125,CloudForge Technologies,Food and Beverage
126,Apexion Labs,Oil and Gas
127,Starwave Innovations,Marketing
128,QuantumPeak Software,Real Estate
129,Bluecrest Dynamics,Marketing
130,Apexion Labs,Healthcare
131,Starwave Innovations,Telecommunications
132,Starwave Innovations,E-Commerce
133,Silverline Systems,Biotechnology
134,CloudForge Technologies,Mining
135,Apexion Labs,Education
136,CloudForge Technologies,Manufacturing
137,LuminaWorks,Marketing
138,Everbright Analytics,E-Commerce
139,LuminaWorks,Software Development
140,Everbright Analytics,Retail
141,CloudForge Technologies,Consumer Electronics
142,NovaCore Solutions,Environmental Services
143,CloudForge Technologies,Manufacturing
144,LuminaWorks,Marketing
145,Bluecrest Dynamics,Information Technology
146,Everbright Analytics,Entertainment
147,Vertexon Industries,Pharmaceuticals
148,Silverline Systems,Logistics
149,Everbright Analytics,Aerospace
150,QuantumPeak Software,Biotechnology
151,Everbright Analytics,Pharmaceuticals
152,QuantumPeak Software,Financial Services
153,LuminaWorks,Banking
154,Everbright Analytics,Retail
155,QuantumPeak Software,Real Estate
156,Everbright Analytics,Chemical Industry
157,QuantumPeak Software,Mining
158,Vertexon Industries,Agriculture
159,CloudForge Technologies,Healthcare
160,LuminaWorks,Insurance
161,Bluecrest Dynamics,Aerospace
162,Vertexon Industries,Renewable Energy
163,Starwave Innovations,Education
164,Everbright Analytics,Manufacturing
165,Silverline Systems,Manufacturing
166,Vertexon Industries,Environmental Services
167,Vertexon Industries,Software Development
168,Silverline Systems,Robotics
169,Vertexon Industries,Healthcare
170,Bluecrest Dynamics,Environmental Services
171,LuminaWorks,E-Commerce
172,LuminaWorks,Marketing
173,LuminaWorks,Real Estate
174,Apexion Labs,Telecommunications
175,QuantumPeak Software,Agriculture
176,Everbright Analytics,Public Sector
177,CloudForge Technologies,Energy
178,Vertexon Industries,E-Commerce
179,Starwave Innovations,Aerospace
180,Greenridge Manufacturing,Real Estate
181,Bluecrest Dynamics,Biotechnology
182,Vertexon Industries,Financial Services
183,Greenridge Manufacturing,Hospitality
184,CloudForge Technologies,Logistics
185,Starwave Innovations,Aerospace
186,NovaCore Solutions,Insurance
187,CloudForge Technologies,Chemical Industry
188,Everbright Analytics,Education
189,QuantumPeak Software,Sports
190,Starwave Innovations,Energy
